stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,municipality_id,stop_desc,stop_timezone,wheelchair_boarding,platform_code,vehicle_type
205288,,Maininkikatu 12 keskustaan,61.0768332,28.160448900000002,1,http://405,0,,405,,,0,,
205289,,Maininkikatu 13 keskustasta,61.076599800000004,28.160435000000003,1,http://405,0,,405,,,0,,
205290,,Kariniemi,61.072646000000006,28.164262800000003,1,http://405,0,,405,,,0,,
205293,,Kurjentie 58 keskustasta,61.0307942,28.1628751,1,http://405,0,,405,,,0,,
205294,,Kaakkoiskaari 6 keskustaan,61.0500735,28.2234951,1,http://405,0,,405,,,0,,
205295,,Kaakkoiskaari 6 keskustasta,61.05035660000001,28.223926300000002,1,http://405,0,,405,,,0,,
205296,,Merenlahdentie 176 L,61.0499792,28.086154500000003,1,http://405,0,,405,,,0,,
205297,,Merenlahdentie 2 keskustaan,61.0458392,28.112839500000003,1,http://405,0,,405,,,0,,
205298,,Merenlahdentie 20 keskustaan,61.04562130000001,28.108009700000004,1,http://405,0,,405,,,0,,
205301,,Merenlahdentie 33 keskustasta,61.04572720000001,28.1068889,1,http://405,0,,405,,,0,,
205302,,Merenlahdentie 38 keskustaan,61.045696400000004,28.099776300000002,1,http://405,0,,405,,,0,,
205303,,Merenlahdentie 38 keskustasta,61.04582980000001,28.0999112,1,http://405,0,,405,,,0,,
205304,,Merenlahdentie 67 L,61.049123300000005,28.0929676,1,http://405,0,,405,,,0,,
205305,,Merenlahdentie-Helsingintie keskustasta,61.04584940000001,28.114087700000002,1,http://405,0,,405,,,0,,
205306,,Munteronkatu 2,61.05363010000001,28.064284400000002,1,http://405,0,,405,,,0,,
205307,,Mustolankatu 1 keskustasta,61.06919080000001,28.310487900000002,1,http://405,0,,405,,,0,,
205308,,Mutkakatu 11 keskustasta,61.054694100000006,28.188242300000002,1,http://405,0,,405,,,0,,
205309,,Muukontie 19 keskustasta,61.078864200000005,28.322831600000004,1,http://405,0,,405,,,0,,
205310,,Muukontie 22 keskustaan,61.07914720000001,28.323769700000003,1,http://405,0,,405,,,0,,
205311,,Kiiskinmäki,61.082102400000004,28.330727500000002,1,http://405,0,,405,,,0,,
205312,,Muukontie-Hakalinkatu keskustaan,61.075201500000006,28.275588700000004,1,http://405,0,,405,,,0,,
205313,,Muukontie-Hakalinkatu keskustasta,61.0745597,28.272869900000003,1,http://405,0,,405,,,0,,
205314,,Muukontie-Itäinen kanavatie keskustaan,61.0782407,28.3029435,1,http://405,0,,405,,,0,,
205315,,Muukontie-Itäinen kanavatie keskustasta,61.07795050000001,28.304456200000004,1,http://405,0,,405,,,0,,
205316,,Muukontie-Juusteninkatu keskustasta,61.07837930000001,28.318226700000004,1,http://405,0,,405,,,0,,
205317,,Muukontie-Kiilinkatu keskustaan,61.07853310000001,28.3172539,1,http://405,0,,405,,,0,,
205318,,Muukontie-Läntinen kanavatie keskustaan,61.077089300000004,28.2863423,1,http://405,0,,405,,,0,,
205319,,Muukontie-Läntinen kanavatie keskustasta,61.0772551,28.288174700000003,1,http://405,0,,405,,,0,,
205320,,Muukontie-Suolavuorentie keskustaan,61.07917440000001,28.297303600000003,1,http://405,0,,405,,,0,,
205321,,Muukontie-Suolavuorentie keskustasta,61.079065500000006,28.297625800000002,1,http://405,0,,405,,,0,,
205322,,Mäntylä,61.024730500000004,28.159721,1,http://405,0,,405,,,0,,
205323,,Mäntyläntie 4 keskustaan,61.025958800000005,28.1631594,1,http://405,0,,405,,,0,,
205324,,Oikokatu I,61.059844600000005,28.194923100000004,1,http://405,0,,405,,,0,,
205325,,Oikokatu L,61.0600694,28.194618600000002,1,http://405,0,,405,,,0,,
205326,,Onnelantie 10 keskustaan,61.0508633,28.230056,1,http://405,0,,405,,,0,,
205328,,Onnelantie 21 keskustasta,61.05198970000001,28.237097900000002,1,http://405,0,,405,,,0,,
205329,,Onnelantie 24 keskustaan,61.0516829,28.234101600000002,1,http://405,0,,405,,,0,,
205330,,Onnelantie 3 keskustasta,61.050883500000005,28.2305661,1,http://405,0,,405,,,0,,
205332,,Onnelantie 36 keskustaan,61.052585400000005,28.239629600000004,1,http://405,0,,405,,,0,,
205333,,Onninkatu 19 keskustaan,61.055642000000006,28.239117600000004,1,http://405,0,,405,,,0,,
205334,,Onninkatu 2 keskustaan,61.05807300000001,28.236877000000003,1,http://405,0,,405,,,0,,
205335,,Onninkatu keskustasta,61.0538894,28.241856600000002,1,http://405,0,,405,,,0,,
205336,,Onninkatu-Tierankuja keskustasta,61.05566830000001,28.239373000000004,1,http://405,0,,405,,,0,,
205337,,Orioninkatu 1 keskustaan,61.052282700000006,28.1054378,1,http://405,0,,405,,,0,,
205338,,Orioninkatu 1 keskustasta,61.05253510000001,28.1053023,1,http://405,0,,405,,,0,,
205339,,Orioninkatu 13 keskustasta,61.054119500000006,28.101562500000004,1,http://405,0,,405,,,0,,
205340,,Orioninkatu 8 keskustaan,61.05345200000001,28.102657200000003,1,http://405,0,,405,,,0,,
205341,,Orioninkatu-Kaivosuonkatu keskustaan,61.05469670000001,28.0953665,1,http://405,0,,405,,,0,,
205342,,Orioninkatu-Kaivosuonkatu keskustasta,61.054839400000006,28.095175400000002,1,http://405,0,,405,,,0,,
205343,,Hovinpelto,61.073194900000004,28.2986569,1,http://405,0,,405,,,0,,
205344,,Piiluvankatu 18 keskustaan,61.0902669,28.1502161,1,http://405,0,,405,,,0,,
205345,,Piiluvankatu 25 keskustasta,61.09027220000001,28.150672200000002,1,http://405,0,,405,,,0,,
205346,,Piiluvankatu-Kivisalmenkatu keskustaan,61.0872188,28.151135600000003,1,http://405,0,,405,,,0,,
205347,,Piiluvankatu-Kivisalmenkatu keskustasta,61.0872212,28.151332800000002,1,http://405,0,,405,,,0,,
205348,,Piiluvankatu-Voisalmentie keskustasta,61.0845509,28.147734900000003,1,http://405,0,,405,,,0,,
205349,,Pikisaarenkatu 27 keskustasta,61.0695114,28.1777848,1,http://405,0,,405,,,0,,
205350,,Pikisaarenkatu 31 keskustasta,61.070665700000006,28.174759200000004,1,http://405,0,,405,,,0,,
205351,,Pikisaarenkatu 32 keskustaan,61.069947000000006,28.175435600000004,1,http://405,0,,405,,,0,,
205353,,Pikisaari,61.073075100000004,28.174020600000002,1,http://405,0,,405,,,0,,
205354,,Pilotinkatu P,61.042518400000006,28.159002500000003,1,http://405,0,,405,,,0,,
205355,,Pilotinkatu E,61.042644200000005,28.158132300000002,1,http://405,0,,405,,,0,,
205356,,Pitkäkatu 2 keskustasta,61.0681864,28.312796000000002,1,http://405,0,,405,,,0,,
205357,,Pitkäkatu 20 keskustasta,61.0678155,28.3191023,1,http://405,0,,405,,,0,,
205358,,Mustola,61.0637977,28.321219900000003,1,http://405,0,,405,,,0,,
205359,,Puhakankatu 13 keskustaan,61.0525408,28.180056300000004,1,http://405,0,,405,,,0,,
205360,,Puhakankatu 3-7 keskustaan,61.05117990000001,28.1785214,1,http://405,0,,405,,,0,,
